GameFileName,GameName,GameDisplay,MediaSearch,Manufact,GameYear,NumPlayers,GameType,Category,GameTheme,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,Rom,Tags
Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),,Bally,1995,4,SS,,Aliens - Martians - Fantasy,http://www.ipdb.org/search.pl?any=attack+from+mars&search=Search+Database&searchtype=quick,,,Brian Eddy,"JPSalas, Arngrim",2.0.1,afm_113b,
Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),Attack from Mars (Bally 1995),,Bally,1995,4,SS,,Aliens - Martians - Fantasy,http://www.ipdb.org/search.pl?any=attack+from+mars&search=Search+Database&searchtype=quick,,,Brian Eddy,"JP Salas, Wed21",?,afm_113b,
Attack from Mars - VR Room (Bally 1995),Attack from Mars - VR Room (Bally 1995),Attack from Mars - VR Room (Bally 1995),,Bally,1995,4,SS,,Aliens - Martians - Fantasy,http://www.ipdb.org/search.pl?any=attack+from+mars&search=Search+Database&searchtype=quick,,,Brian Eddy,"Rawd, G5k, DJRobX, Tom Tower, 3rdaxis, Steely, Randy Davis, Caligula, Walter",1.2.4,afm_113b,
Attila the Hun (Game Plan 1984),Attila the Hun (Game Plan 1984),Attila the Hun (Game Plan 1984),,Game Plan,1984,4,SS,,Historical,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=109,109,,John Trudeau,"Hsm, Xenonph, Dboyrecords, Destruk",1.0a,attila,
Austin Powers (Stern 2001),Austin Powers (Stern 2001),Austin Powers (Stern 2001),,Stern,2001,4,SS,,Spies - Licensed Theme,http://www.ipdb.org/machine.cgi?id=4504,4504,,Lonnie D. Ropp,"Javier1515, 32assassin, Dstruct, Francisco666, Rom, ClarkKent, Ninuzzu",1.01,austin,
"Avatar, James Cameron's (Stern 2010)","Avatar, James Cameron's (Stern 2010)","Avatar, James Cameron's (Stern 2010)",,Stern,2010,4,SS,,Fantasy - Licensed Theme,http://www.ipdb.org/machine.cgi?id=5618,5618,,"John Borg, Lonnie D. Ropp","Bigus1, Frenaticamnesic, 85vett, Hauntfreaks, 32assassin",1.4,avr_200,
"Avatar, James Cameron's (Stern 2010)","Avatar, James Cameron's (Stern 2010)","Avatar, James Cameron's (Stern 2010)",,Stern,2010,4,SS,,Fantasy - Licensed Theme,http://www.ipdb.org/machine.cgi?id=5618,5618,,"John Borg, Lonnie D. Ropp","Dazzlaa, Thalamus, 85vett, Freneticamnesic, Xenonph, TerryRed, Crabtree, Rob Ross, G5k",1.0,avr_200,
"Avatar, James Cameron's (Stern 2010)","Avatar, James Cameron's (Stern 2010)","Avatar, James Cameron's (Stern 2010)",,Stern,2010,4,SS,,Fantasy - Licensed Theme,http://www.ipdb.org/machine.cgi?id=5618,5618,,"John Borg, Lonnie D. Ropp","Thalamus, HauntFreaks, GtxJoe, 85vett, Freneticamnesic, 32assassin, Carney",1.19,avr_200,
"Avatar, James Cameron's (Stern 2010)","Avatar, James Cameron's (Stern 2010)","Avatar, James Cameron's (Stern 2010)",,Stern,2010,4,SS,,Fantasy - Licensed Theme,http://www.ipdb.org/machine.cgi?id=5618,5618,,"John Borg, Lonnie D. Ropp","Freneticamnesic, Francisco666, Lacarril, 85vett, Neofr45",1.0.5,avr_200,
"Avatar, James Cameron's (Stern 2010)","Avatar, James Cameron's (Stern 2010)","Avatar, James Cameron's (Stern 2010)",,Stern,2010,4,SS,,Fantasy - Licensed Theme,http://www.ipdb.org/machine.cgi?id=5618,5618,,"John Borg, Lonnie D. Ropp",Freneticamnesic,Beta,avr_200,
